time,flex_load_kwh,ev_demand_kwh,pv_gen_kwh,pv_used_kwh,batt_discharge_kwh,batt_charge_kwh,bess_soc_kwh,grid_energy_kwh,grid_cost_pln,co2_emission_kg
2024-08-30 22:00:00+02:00,456.508653045,0,0,0,0,0,0,0,0,0
2024-08-30 23:00:00+02:00,457.508653045,0,0,0,0,0,0,0,0,0
2024-08-31 00:00:00+02:00,458.508653045,0,0,0,0,0,0,0,0,0
2024-08-31 01:00:00+02:00,459.508653045,0,0,0,0,0,0,0,0,0
2024-08-31 02:00:00+02:00,460.508653045,0,0,0,0,0,0,0,0,0
2024-08-31 03:00:00+02:00,461.508653045,0,0,0,0,0,0,0,0,0
2024-08-31 04:00:00+02:00,462.508653045,0,0,0,0,0,0,0,0,0
2024-08-31 05:00:00+02:00,463.508653045,0,0,0,0,0,0,0,0,0
2024-08-31 06:00:00+02:00,464.508653045,0,0,0,0,0,0,0,0,0
2024-08-31 07:00:00+02:00,465.508653045,0,11.10000014,11.10000014,0,0,0,0,0,0
2024-08-31 08:00:00+02:00,466.508653045,0,175.5,175.5,0,0,0,0,0,0
2024-08-31 09:00:00+02:00,467.508653045,0,239.4000092,239.4000092,0,0,0,0,0,0
2024-08-31 10:00:00+02:00,468.508653045,0,352.2000046,352.2000046,0,0,0,0,0,0
2024-08-31 11:00:00+02:00,469.508653045,0,523.8000183,523.8000183,0,0,0,0,0,0
2024-08-31 12:00:00+02:00,470.508653045,0,1231.5,1231.5,0,0,0,0,0,0
2024-08-31 13:00:00+02:00,471.508653045,0,1716.600037,1716.600037,0,0,0,0,0,0
2024-08-31 14:00:00+02:00,472.508653045,0,2133.600037,2133.600037,0,0,0,0,0,0
2024-08-31 15:00:00+02:00,473.508653045,33.3333333333333,2280,2280,0,0,0,0,0,0
2024-08-31 16:00:00+02:00,474.508653045,83.3333333333333,2190.899963,2190.899963,0,0,0,0,0,0
2024-08-31 17:00:00+02:00,475.508653045,83.3333333333333,1883.700073,1883.700073,0,0,0,0,0,0
2024-08-31 18:00:00+02:00,476.508653045,83.3333333333333,1421.100037,1421.100037,0,0,0,0,0,0
2024-08-31 19:00:00+02:00,477.508653045,83.3333333333333,741.9000092,741.9000092,0,0,0,0,0,0
2024-08-31 20:00:00+02:00,478.508653045,33.3333333333333,108,108,0,0,0,0,0,0
2024-08-31 21:00:00+02:00,479.508653045,0,6,6,0,0,0,0,0,0
2024-08-31 22:00:00+02:00,480.508653045,0,5.100000143,5.100000143,0,0,0,0,0,0
2024-08-31 23:00:00+02:00,481.508653045,0,0,0,0,0,0,0,0,0
2024-09-01 00:00:00+02:00,482.508653045,0,0,0,0,0,0,0,0,0
2024-09-01 01:00:00+02:00,483.508653045,0,0,0,0,0,0,0,0,0
2024-09-01 02:00:00+02:00,484.508653045,0,0,0,0,0,0,0,0,0
2024-09-01 03:00:00+02:00,485.508653045,0,0,0,0,0,0,0,0,0
2024-09-01 04:00:00+02:00,486.508653045,0,0,0,0,0,0,0,0,0
2024-09-01 05:00:00+02:00,487.508653045,0,0,0,0,0,0,0,0,0
2024-09-01 06:00:00+02:00,488.508653045,0,0,0,0,0,0,0,0,0
2024-09-01 07:00:00+02:00,489.508653045,0,9.600000143,9.600000143,0,0,0,0,0,0
2024-09-01 08:00:00+02:00,490.508653045,0,125.3999977,125.3999977,0,0,0,0,0,0
2024-09-01 09:00:00+02:00,491.508653045,0,228.9000092,228.9000092,0,0,0,0,0,0
2024-09-01 10:00:00+02:00,492.508653045,0,276.6000137,276.6000137,0,0,0,0,0,0
2024-09-01 11:00:00+02:00,493.508653045,0,731.7000275,731.7000275,0,0,0,0,0,0
2024-09-01 12:00:00+02:00,494.508653045,0,1175.100037,1175.100037,0,0,0,0,0,0
2024-09-01 13:00:00+02:00,495.508653045,0,1673.100037,1673.100037,0,0,0,0,0,0
2024-09-01 14:00:00+02:00,496.508653045,0,1995.600037,1995.600037,0,0,0,0,0,0
2024-09-01 15:00:00+02:00,497.508653045,33.3333333333333,2106,2106,0,0,0,0,0,0
2024-09-01 16:00:00+02:00,498.508653045,83.3333333333333,2070.899963,2070.899963,0,0,0,0,0,0
2024-09-01 17:00:00+02:00,499.508653045,83.3333333333333,1779,1779,0,0,0,0,0,0
2024-09-01 18:00:00+02:00,500.508653045,83.3333333333333,1326.300018,1326.300018,0,0,0,0,0,0
2024-09-01 19:00:00+02:00,501.508653045,83.3333333333333,732.5999908,732.5999908,0,0,0,0,0,0
2024-09-01 20:00:00+02:00,502.508653045,33.3333333333333,127.8000069,127.8000069,0,0,0,0,0,0
2024-09-01 21:00:00+02:00,503.508653045,0,6.600000143,6.600000143,0,0,0,0,0,0
2024-09-01 22:00:00+02:00,504.508653045,0,6,6,0,0,0,0,0,0
2024-09-01 23:00:00+02:00,505.508653045,0,0,0,0,0,0,0,0,0
,506.508653045,,,,,,,,,
,507.508653045,,,,,,,,,
,508.508653045,,,,,,,,,
,509.508653045,,,,,,,,,
,510.508653045,,,,,,,,,
,511.508653045,,,,,,,,,
,512.508653045,,,,,,,,,
